text,label,label_id
"Al Baraka — amenity:bank in Islamabad, Jinnah Avenue, اسلام آباد",amenity:bank,0
"AlBaraka bank Pakistan — amenity:bank in Islamabad, Jinnah Avenue, اسلام آباد",amenity:bank,0
"Allied Bank Limitted G-8/1, Islamabad — amenity:bank in Islamabad, Street 12, اسلام آباد",amenity:bank,0
Askari Bank — amenity:bank in Islamabad,amenity:bank,0
"Bank Al-Habib — amenity:bank in Islamabad, Kurram Road, اسلام آباد",amenity:bank,0
City Bank — amenity:bank in Islamabad,amenity:bank,0
"HBL Bank — amenity:bank in Islamabad, Tipu Sultan Road, اسلام آباد",amenity:bank,0
HSBC — amenity:bank in Islamabad,amenity:bank,0
"MCB — amenity:bank in Islamabad, I-8 Markaz, Islamabad, 44000",amenity:bank,0
Muslim Commercial Bank — amenity:bank in Islamabad,amenity:bank,0
"Muslim Commercial Bank — amenity:bank in Islamabad, Jinnah Avenue, اسلام آباد",amenity:bank,0
"National Bank - NBP — amenity:bank in Islamabad, Kurram Road, اسلام آباد",amenity:bank,0
"Punjab Bank — amenity:bank in Islamabad, Kurram Road, اسلام آباد",amenity:bank,0
"Saudi Pak Commercial Bank — amenity:bank in Islamabad, Hilal Road, اسلام آباد",amenity:bank,0
Silk Bank — amenity:bank in Islamabad,amenity:bank,0
"State Bank Of Pakistan — amenity:bank in Islamabad, Service Road West G5;Service Road West F5, اسلام آباد",amenity:bank,0
The Bank of Khyber — amenity:bank in Islamabad,amenity:bank,0
"The World Bank Pakistan — amenity:bank in Islamabad, Service Road West G5;Service Road West F5, اسلام آباد",amenity:bank,0
UBL Limited — amenity:bank in Islamabad,amenity:bank,0
"United Bank Ltd — amenity:bank in Islamabad, Street 54, اسلام آباد",amenity:bank,0
"اسٹینڈرڈ چارٹرڈ — amenity:bank in Islamabad, Hilal Road, اسلام آباد",amenity:bank,0
اسٹینڈرڈ چارٹرڈ — amenity:bank in Islamabad,amenity:bank,0
"اسٹینڈرڈ چارٹرڈ — amenity:bank in Islamabad, F8 markaz, اسلام آباد",amenity:bank,0
"اسٹینڈرڈ چارٹرڈ — amenity:bank in Islamabad, Jinnah Avenue, اسلام آباد",amenity:bank,0
"اسٹینڈرڈ چارٹرڈ — amenity:bank in Islamabad, Bhitai Road, اسلام آباد",amenity:bank,0
"اسٹینڈرڈ چارٹرڈ — amenity:bank in Islamabad, Road No 1, اسلام آباد",amenity:bank,0
"الائیڈ بینک — amenity:bank in Islamabad, F7 markaz, اسلام آباد",amenity:bank,0
"الائیڈ بینک لمیٹڈ — amenity:bank in Islamabad, Street 65, اسلام آباد",amenity:bank,0
"الائیڈ بینک لمیٹڈ — amenity:bank in Islamabad, Jinnah Avenue, اسلام آباد",amenity:bank,0
الائیڈ بینک لمیٹڈ — amenity:bank in Islamabad,amenity:bank,0
"ایم سی بی بینک — amenity:bank in Islamabad, School Road, اسلام آباد",amenity:bank,0
"ایچ بی ایل پاکستان — amenity:bank in Islamabad, Shaheed-e-Millat Road, اسلام آباد",amenity:bank,0
ایچ بی ایل پاکستان — amenity:bank in Islamabad,amenity:bank,0
"عسکری بینک — amenity:bank in Islamabad, اسلام آباد",amenity:bank,0
عسکری بینک — amenity:bank in Islamabad,amenity:bank,0
عسکری بینک — amenity:bank in Islamabad,amenity:bank,0
"عسکری بینک — amenity:bank in Islamabad, Street 65, اسلام آباد",amenity:bank,0
"عسکری بینک — amenity:bank in Islamabad, اسلام آباد",amenity:bank,0
"فیصل بینک — amenity:bank in Islamabad, Jinnah Avenue, اسلام آباد",amenity:bank,0
"میزان بینک — amenity:bank in Islamabad, Kurram Road, اسلام آباد",amenity:bank,0
"میزان بینک — amenity:bank in Islamabad, School Road, اسلام آباد",amenity:bank,0
"نیشنل بینک آف پاکستان — amenity:bank in Islamabad, Jinnah Avenue, اسلام آباد",amenity:bank,0
"نیشنل بینک آف پاکستان — amenity:bank in Islamabad, Street 92, اسلام آباد",amenity:bank,0
"یونائیٹڈ بینک لمیٹڈ — amenity:bank in Islamabad, College Road, اسلام آباد",amenity:bank,0
"یونائیٹڈ بینک لمیٹڈ — amenity:bank in Islamabad, School Road, اسلام آباد",amenity:bank,0
amenity:bank in Islamabad,amenity:bank,0
Beverage stall Trail 5 — amenity:cafe in Islamabad,amenity:cafe,1
"Bilal Cafe — amenity:cafe in Islamabad, Ravi Road, اسلام آباد",amenity:cafe,1
"Burning Brownie — amenity:cafe in Islamabad, Service Road South F-6;Service Road West F-6, اسلام آباد",amenity:cafe,1
"Cafe Behbud — amenity:cafe in Islamabad, School Road, اسلام آباد",amenity:cafe,1
"Cafe Paprika — amenity:cafe in Islamabad, Street 54, اسلام آباد",amenity:cafe,1
"Cafe101 — amenity:cafe in Islamabad, Johar Road, اسلام آباد",amenity:cafe,1
"Cafeteria — amenity:cafe in Islamabad, Constitution Avenue, اسلام آباد",amenity:cafe,1
"Café Burn out — amenity:cafe in Islamabad, College Road, اسلام آباد",amenity:cafe,1
"Cannoli by Cafe Soul — amenity:cafe in Islamabad, Service Road South F-6;Service Road West F-6, اسلام آباد",amenity:cafe,1
"Capital Cafe — amenity:cafe in Islamabad, Street 30, اسلام آباد",amenity:cafe,1
"DSG Mess — amenity:cafe in Islamabad, Iqbal Road, اسلام آباد",amenity:cafe,1
"Executive Club Gym n Café — amenity:cafe in Islamabad, street 40, sagheer market",amenity:cafe,1
"FUUAST Cafe — amenity:cafe in Islamabad, Street 30, اسلام آباد",amenity:cafe,1
"Fresh Juice Stall — amenity:cafe in Islamabad, Chaman Road, اسلام آباد",amenity:cafe,1
"Habibi Resturant — amenity:cafe in Islamabad, F-8 Markaz, اسلام آباد",amenity:cafe,1
"Howdy — amenity:cafe in Islamabad, Street 3, اسلام آباد",amenity:cafe,1
IU cafe — amenity:cafe in Islamabad,amenity:cafe,1
"Incantare Coffee Cafe — amenity:cafe in Islamabad, 10th Avenue, اسلام آباد",amenity:cafe,1
"Kafe kaam — amenity:cafe in Islamabad, Johar Road, اسلام آباد",amenity:cafe,1
"MYU Cafe — amenity:cafe in Islamabad, Street 40, اسلام آباد, 44000",amenity:cafe,1
"Manolo Gelato Cafe — amenity:cafe in Islamabad, Hassan Ali Afandi Road, اسلام آباد",amenity:cafe,1
"Milkshake Place — amenity:cafe in Islamabad, Jinnah Avenue, اسلام آباد",amenity:cafe,1
Mocca — amenity:cafe in Islamabad,amenity:cafe,1
Monal restaurant — amenity:cafe in Islamabad,amenity:cafe,1
Numl Main Cafe — amenity:cafe in Islamabad,amenity:cafe,1
Numl Second Cafe — amenity:cafe in Islamabad,amenity:cafe,1
Numl old cafe — amenity:cafe in Islamabad,amenity:cafe,1
"Old School Cafe — amenity:cafe in Islamabad, Service Road South F-6;Service Road West F-6, اسلام آباد",amenity:cafe,1
"Pops Café — amenity:cafe in Islamabad, Street 6, اسلام آباد",amenity:cafe,1
"Quetta cafe — amenity:cafe in Islamabad, Street 55, اسلام آباد",amenity:cafe,1
"Razzmatazz — amenity:cafe in Islamabad, Street 11A, اسلام آباد",amenity:cafe,1
Refreshment cafe — amenity:cafe in Islamabad,amenity:cafe,1
"Sadiq's Cafe — amenity:cafe in Islamabad, Street 22, اسلام آباد",amenity:cafe,1
Sailing club — amenity:cafe in Islamabad,amenity:cafe,1
"Shamim-E-Dahan — amenity:cafe in Islamabad, Street 55, اسلام آباد",amenity:cafe,1
"Sitar Buksh — amenity:cafe in Islamabad, Street 4, اسلام آباد",amenity:cafe,1
"Social Cafe — amenity:cafe in Islamabad, Street 48, اسلام آباد",amenity:cafe,1
"Street 1 Café — amenity:cafe in Islamabad, Road No 1, اسلام آباد",amenity:cafe,1
"Street 1 cafe — amenity:cafe in Islamabad, Kohsar market, F6, Islamabad",amenity:cafe,1
"Sufi Sarai — amenity:cafe in Islamabad, Street 32, اسلام آباد",amenity:cafe,1
Table Talk — amenity:cafe in Islamabad,amenity:cafe,1
The Alley — amenity:cafe in Islamabad,amenity:cafe,1
"The Candy Coach — amenity:cafe in Islamabad, Sumbal Road, اسلام آباد",amenity:cafe,1
The Gelato Affair — amenity:cafe in Islamabad,amenity:cafe,1
"The Hot Spot — amenity:cafe in Islamabad, Street 3, اسلام آباد",amenity:cafe,1
The Hot Spot Cafe — amenity:cafe in Islamabad,amenity:cafe,1
"The Nutella Spot — amenity:cafe in Islamabad, Hilal Road, Liberty Square Plaza, اسلام آباد",amenity:cafe,1
"Yum Chinese & Thai — amenity:cafe in Islamabad, Street 16, اسلام آباد",amenity:cafe,1
khan cafe — amenity:cafe in Islamabad,amenity:cafe,1
takar tea stall — amenity:cafe in Islamabad,amenity:cafe,1
"سبحان اللہ ہوٹل — amenity:cafe in Islamabad, سروس روڈ ویسٹ جی-11, اسلام آباد",amenity:cafe,1
کیفے — amenity:cafe in Islamabad,amenity:cafe,1
گلوریا جینز — amenity:cafe in Islamabad,amenity:cafe,1
"گلوریا جینز — amenity:cafe in Islamabad, Hassan Ali Afandi Road, اسلام آباد",amenity:cafe,1
"گلوریا جینز — amenity:cafe in Islamabad, Street 6, اسلام آباد",amenity:cafe,1
"گلوریا جینز — amenity:cafe in Islamabad, اسلام آباد",amenity:cafe,1
گلوریا جینز — amenity:cafe in Islamabad,amenity:cafe,1
amenity:cafe in Islamabad,amenity:cafe,1
amenity:cafe in Islamabad,amenity:cafe,1
amenity:cafe in Islamabad,amenity:cafe,1
Abid Hospital — amenity:hospital in Islamabad,amenity:hospital,2
"Advanced International Hospital G-8 Markaz — amenity:hospital in Islamabad, G-8 Markaz",amenity:hospital,2
"Al Ain International Specialist Eye Hospital — amenity:hospital in Islamabad, Service Road East G-10, اسلام آباد",amenity:hospital,2
Ali Hospital — amenity:hospital in Islamabad,amenity:hospital,2
"Ali Medical Centre — amenity:hospital in Islamabad, Kohistan Road, اسلام آباد",amenity:hospital,2
Amanat Eye hospital — amenity:hospital in Islamabad,amenity:hospital,2
"Beewell Hospital — amenity:hospital in Islamabad, AKM Fazul Haq Road, اسلام آباد",amenity:hospital,2
"Bilquis Memorial Hospital — amenity:hospital in Islamabad, Local path, اسلام آباد",amenity:hospital,2
"CDA Hospital — amenity:hospital in Islamabad, Street 18, اسلام آباد",amenity:hospital,2
Capital Institute of Health Sciences (CIHS) — amenity:hospital in Islamabad,amenity:hospital,2
"Chohan Eye Hospital — amenity:hospital in Islamabad, Street 63, اسلام آباد",amenity:hospital,2
FM Dental Clinic — amenity:hospital in Islamabad,amenity:hospital,2
"Federal Government Dispensary(FGD)- P Block — amenity:hospital in Islamabad, Secretariat Road, اسلام آباد",amenity:hospital,2
