id,osm_id,osm_geom_type,osm_tag_key,osm_tag_value,name,name_ur,name_en,alt_name,description_raw,lat,lon,city,province,country,brand,operator,wikidata,target_label
e8f8d02d-ed6e-5fa9-be57-03ee0b95b6e2,9559965347,node,place,village,Dheri Lagal,,,,,33.7017556,72.3311223,Attock,Punjab,Pakistan,,,,place__village
cf653a46-cabc-5d7f-aaff-20de65beb943,9559965343,node,place,village,ڈھیری کوٹ,,Dheri Kot,,,33.7237349,72.300022,Attock,Punjab,Pakistan,,,,place__village
784c9bfc-fc40-5889-b383-f88d6d9fbd5b,17779402,relation,natural,wood,,,,,,33.6638675,72.3049784,Attock,Punjab,Pakistan,,,,natural__wood
3ea69359-f2c1-562e-b779-10580505a0a2,877648957,node,place,village,Sarwāla,,,,,33.7705662,72.3219107,Attock,Punjab,Pakistan,,,,place__village
f8cf9d78-5fc4-5b60-a977-64f5c31fbd9f,877648978,node,place,village,Sheen Bagh,,,,,33.7706136,72.3304026,Attock,Punjab,Pakistan,,,,place__village
70c6528d-bb5b-5a3b-8fc8-77c1a6668b91,877649017,node,place,village,Pandwāl,,,,,33.7679617,72.3262462,Attock,Punjab,Pakistan,,,,place__village
addb0eef-3bf1-5e70-b881-f14f9a9ed053,868379877,node,place,village,Shakar Dara,,,,,33.7756764,72.32515,Attock,Punjab,Pakistan,,,,place__village
182c21d1-95ac-5e1a-baff-be621489f80a,368789470,way,natural,water,Gazi Barotha Reservoir Canal,,,,,33.8490914,72.4147415,Attock,Punjab,Pakistan,,,,natural__water
b0ca1195-2014-5c70-830c-bd0f29facdf3,11776453226,node,place,village,بریار,,Baryaar,,,33.7289485,72.3728106,Attock,Punjab,Pakistan,,,,place__village
99a3f72e-67cf-5d96-9a01-b56d9e29fbe8,868379853,node,place,village,Māri Kanjur,,,,,33.7498459,72.346951,Attock,Punjab,Pakistan,,,,place__village
54e7000b-65ae-5a8b-8cd8-905e02c6ebfe,3387552934,node,amenity,place_of_worship,Sadiqiya Masjid  / صدیقیہ مسجد,,,,,33.7672297,72.3486036,Attock,Punjab,Pakistan,,,,amenity__place_of_worship
c6ffb9e8-5ab5-5212-9363-71c311e1c984,3387503204,node,amenity,place_of_worship,masjid,,,,,33.7719393,72.3506139,Attock,Punjab,Pakistan,,,,amenity__place_of_worship
f59e0064-53a9-51bb-83bb-89118fdd7451,3387503225,node,amenity,place_of_worship,Makki Masjid / مکی مسجد,,,,,33.7698452,72.3459905,Attock,Punjab,Pakistan,,,,amenity__place_of_worship
1841d24b-4a2c-5601-b1bc-b16ecaa326dc,3387511785,node,amenity,place_of_worship,Madina Masjid / مدینہ مسجد,,,,,33.7683074,72.3501818,Attock,Punjab,Pakistan,,,,amenity__place_of_worship
1f6d3b57-314f-507e-9757-989515941f4b,2279562922,node,railway,station,اٹک سٹی جنکشن,اٹک سٹی جنکشن,Attock City Junction,,,33.77451,72.3516178,Attock,Punjab,Pakistan,,,Q18346510,railway__station
dd9c2677-9bb4-5dae-9dfc-99760ebd8cfb,3387447774,node,amenity,fuel,CNG Station,,,,,33.7666786,72.3579779,Attock,Punjab,Pakistan,,,,amenity__fuel
a5d2e6ff-7f08-53d0-9383-ed5d842b0d60,3387464701,node,amenity,fuel,Attock CNG,,,,,33.7662699,72.356722,Attock,Punjab,Pakistan,,Attock CNG,,amenity__fuel
67bb9243-d73c-5a28-8c23-fc48e9181133,3387440401,node,amenity,place_of_worship,Masjid Ahle sunat wal jamat,مسجد اہل سنت والجماعت,,,,33.7669557,72.3626308,Attock,Punjab,Pakistan,,,,amenity__place_of_worship
7513971a-17b0-5bd2-ad02-c75e36e98b10,3387444625,node,shop,mall,ADIL PLAZA / عادل پلازا,,,,,33.7673217,72.3585041,Attock,Punjab,Pakistan,,,,shop__mall
aa3d1785-72c7-5af9-8ae4-d971462c7cd4,4404033214,node,amenity,place_of_worship,Noor e Mustafa Masjid,,,,,33.7608158,72.3686595,Attock,Punjab,Pakistan,,,,amenity__place_of_worship
